Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
The Lord of the Rings: The Return of the King,"$72,629,713 ","$377,027,325 ",19.30%,"3,703","$19,613 ",12/17/2003,New Line Cinema
Dawn of the Planet of the Apes,"$72,611,427 ","$208,545,589 ",34.80%,"3,967","$18,303 ",7/11/2014,Twentieth Century Fox
Despicable Me 3,"$72,434,025 ","$264,624,300 ",27.40%,"4,529","$15,993 ",6/30/2017,Universal Pictures
The Lost World: Jurassic Park,"$72,132,785 ","$229,086,679 ",31.50%,"3,281","$21,985 ",5/23/1997,Universal Pictures
Sonic the Hedgehog 2,"$72,105,176 ","$190,872,904 ",37.80%,"4,234","$17,030 ",4/8/2022,Paramount Pictures
Eternals,"$71,297,219 ","$164,870,234 ",43.20%,"4,090","$17,432 ",11/5/2021,Walt Disney Studios Motion Pictures
Us,"$71,117,625 ","$175,084,580 ",40.60%,"3,741","$19,010 ",3/22/2019,Universal Pictures
Fast & Furious,"$70,950,500 ","$155,064,265 ",45.80%,"3,461","$20,500 ",4/3/2009,Universal Pictures
300,"$70,885,301 ","$210,614,939 ",33.70%,"3,103","$22,844 ",3/9/2007,Warner Bros.
Shrek Forever After,"$70,838,207 ","$238,736,787 ",29.70%,"4,359","$16,251 ",5/21/2010,DreamWorks
Transformers,"$70,502,384 ","$319,246,193 ",22.10%,"4,011","$17,577 ",7/3/2007,DreamWorks
The Incredibles,"$70,467,623 ","$261,441,092 ",27%,"3,933","$17,917 ",11/5/2004,Walt Disney Studios Motion Pictures
Spectre,"$70,403,148 ","$200,074,609 ",35.20%,"3,929","$17,918 ",11/6/2015,Sony Pictures Entertainment (SPE)
Finding Nemo,"$70,251,710 ","$339,714,978 ",20.70%,"3,374","$20,821 ",5/30/2003,Walt Disney Studios Motion Pictures
The Lorax,"$70,217,070 ","$214,030,500 ",32.80%,"3,729","$18,830 ",3/2/2012,Universal Pictures
Star Trek Into Darkness,"$70,165,559 ","$228,778,661 ",30.70%,"3,868","$18,140 ",5/16/2013,Paramount Pictures
F9: The Fast Saga,"$70,043,165 ","$173,005,945 ",40.50%,"4,179","$16,760 ",6/25/2021,Universal Pictures
Twilight,"$69,637,740 ","$192,769,854 ",36.10%,"3,419","$20,367 ",11/21/2008,Summit Entertainment
Maleficent,"$69,431,298 ","$241,410,378 ",28.80%,"3,948","$17,586 ",5/30/2014,Walt Disney Studios Motion Pictures
The Bourne Ultimatum,"$69,283,690 ","$227,471,070 ",30.50%,"3,660","$18,929 ",8/3/2007,Universal Pictures
Pitch Perfect 2,"$69,216,890 ","$184,296,230 ",37.60%,"3,473","$19,930 ",5/15/2015,Universal Pictures
The Lego Movie,"$69,050,279 ","$257,760,692 ",26.80%,"3,775","$18,291 ",2/7/2014,Warner Bros.
The Day After Tomorrow,"$68,743,584 ","$186,740,799 ",36.80%,"3,425","$20,071 ",5/28/2004,Twentieth Century Fox
Planet of the Apes,"$68,532,960 ","$180,011,740 ",38.10%,"3,500","$19,580 ",7/27/2001,Twentieth Century Fox
The Mummy Returns,"$68,139,035 ","$202,019,785 ",33.70%,"3,401","$20,035 ",5/4/2001,Universal Pictures
Up,"$68,108,790 ","$293,004,164 ",23.20%,"3,766","$18,085 ",5/29/2009,Walt Disney Studios Motion Pictures
Ice Age: The Meltdown,"$68,033,544 ","$195,330,621 ",34.80%,"3,964","$17,162 ",3/31/2006,Twentieth Century Fox
Bruce Almighty,"$67,953,330 ","$242,829,261 ",28%,"3,483","$19,510 ",5/23/2003,Universal Pictures
Cinderella,"$67,877,361 ","$201,151,353 ",33.70%,"3,845","$17,653 ",3/13/2015,Walt Disney Studios Motion Pictures
Aquaman,"$67,873,522 ","$335,061,807 ",20.30%,"4,125","$16,454 ",12/21/2018,Warner Bros.
The Grinch,"$67,572,855 ","$270,620,950 ",25%,"4,141","$16,318 ",11/9/2018,Universal Pictures
Quantum of Solace,"$67,528,882 ","$168,368,427 ",40.10%,"3,451","$19,567 ",11/14/2008,Sony Pictures Entertainment (SPE)
